internal_client_id,product_id,product_name,product_ean,category,sub_category,store_name,store_type,city_name,stock_quantity
310mee980,477345, Tooth & Gum Cleaning Finger Baby Toothbrush(Pack) 1 unit - Rs 99,,Baby Care,Oral & Nasal Care,Super Store Dasna 2 - Warehouse,WAREHOUSE,Dasna,21
310mee980,563117, 100% Muslin Cotton Baby Swaddle Wrap Set (Multicolour) 3.0 piece - Rs 999.0,,Baby Care,Nursing,Kolkata K4 - Feeder Warehouse,WAREHOUSE,Kolkata,11
310mee980,445284, Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free(Packet) 3 packs - Rs 327,,Baby Care,Baby Wipes,Super Store Dasna 2 - Warehouse,WAREHOUSE,Dasna,148
310mee980,477345, Tooth & Gum Cleaning Finger Baby Toothbrush(Pack) 1 unit - Rs 99,,Baby Care,Oral & Nasal Care,Nagpur N1 - Feeder Warehouse,WAREHOUSE,Nagpur,1
310mee980,497414, Gentle Wet Baby Wipes with Aloe Vera - Pack of 5(Packet) 5 piece - Rs 495.0,,Baby Care,Baby Wipes,Noida N1 - Feeder Warehouse,WAREHOUSE,Noida,110
310mee980,540002, Anti-Bacterial Baby Liquid Cleanser (Refill) 500 ml - Rs 349,,Baby Care,Hygiene,SS Bengaluru F&V CPC 3 HP - Warehouse,WAREHOUSE,SS,0
310mee980,445284, Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free(Packet) 3 packs - Rs 327,,Baby Care,Baby Wipes,Mumbai M10 - Feeder Warehouse,WAREHOUSE,Mumbai,7
310mee980,549842, Baby Pacifier Soft Silicone Nipple (Yellow & Green) 1 pack (2 pieces) - Rs 249,,Baby Care,Feeding Essentials,Super Store Dasna 2 - Warehouse,RETAIL_STORE,Dasna,81
310mee980,495696, Baby Bottle & Nipple Brush(Box) 1 piece - Rs 229,,Baby Care,Feeding Essentials,Kundli - Feeder Warehouse,RETAIL_STORE,Kundli,118
310mee980,549841," Microfibre Baby Bath Towel (Multicolour, 0 - 3 years) 1 unit - Rs 599",,Baby Care,Baby Accessories,Ludhiana L2 - Feeder Warehouse,WAREHOUSE,Ludhiana,22
